Days,Open,High,Low,Close,Volume
5638.0,3.69400,3.77975,3.69400,3.71075,402780000
5639.0,3.77100,3.80900,3.72900,3.76875,383872000
5640.0,3.72500,3.73125,3.63975,3.65500,358892000
5641.0,3.67725,3.72500,3.65950,3.70650,308080000
5642.0,3.61275,3.63725,3.57100,3.61600,394428000
5645.0,3.61425,3.66300,3.59125,3.62575,276040000
5646.0,3.68750,3.87775,3.67650,3.8220,581920000
5647.0,3.85750,3.86900,3.80175,3.8280,331644000
5648.0,3.91925,3.93325,3.83800,3.8525,350168000
5649.0,3.83750,3.88700,3.78750,3.7940,434428000
5652.0,3.81550,3.84625,3.76800,3.8165,282948000
5653.0,3.82150,3.89700,3.78425,3.78700,311868000
5654.0,3.91525,4.04300,3.90225,3.98150,584072000
5655.0,4.06775,4.10000,4.03150,4.08075,445440000
5656.0,4.12500,4.13425,4.05875,4.10575,397668000
5659.0,4.31425,4.34875,4.11650,4.15425,709756000
5660.0,4.13750,4.15875,4.0425,4.05575,400228000
5661.0,4.07925,4.08500,4.0085,4.06875,246636000
5663.0,4.01000,4.01450,3.9420,4.00575,396552000
5666.0,3.94575,3.96475,3.9000,3.93025,329788000
5667.0,3.88775,3.96100,3.8750,3.93275,342860000
5668.0,3.97650,4.05925,3.96250,4.00150,452076000
5669.0,4.07500,4.19800,4.03750,4.15700,682560000
5670.0,4.18500,4.26175,4.18500,4.19025,506392000
5673.0,4.21150,4.22775,4.15325,4.18175,289840000
5674.0,4.16675,4.20425,4.12100,4.17700,341444000
5675.0,4.17875,4.24975,4.14925,4.24275,348204000
5676.0,4.25325,4.31775,4.19625,4.25450,442192000
5677.0,4.29300,4.29950,4.20500,4.21100,344896000
5680.0,4.23250,4.29600,4.22500,4.28300,315940000
5681.0,4.32250,4.39350,4.30675,4.39150,428176000
5682.0,4.43500,4.47225,4.35850,4.46650,366236000
5683.0,4.42475,4.43750,4.31100,4.33450,392700000
5684.0,4.36175,4.42375,4.36175,4.37675,274160000
5687.0,4.36950,4.38675,4.28175,4.37050,248160000
5688.0,4.32375,4.39850,4.30925,4.38625,197772000
5689.0,4.35450,4.35550,4.17550,4.21800,359416000
5690.0,4.22850,4.31950,4.07050,4.12300,421212000
5691.0,4.02975,4.09950,3.98200,4.02975,428348000
5694.0,3.84500,3.84625,3.72250,3.76975,589156000
5695.0,3.84500,3.89075,3.76075,3.80875,361272000
5696.0,3.74750,3.85925,3.73000,3.84725,372560000
5697.0,3.90525,3.95775,3.84750,3.95650,309300000
5698.0,3.91525,3.91875,3.80375,3.85450,341816000
5701.0,3.80200,3.85450,3.76425,3.78625,279200000
5702.0,3.78475,3.94750,3.74550,3.90125,351956000
5703.0,3.81250,3.82375,3.70775,3.75175,419880000
5704.0,3.77075,3.79075,3.68475,3.71925,477200000
5705.0,3.98375,4.03850,3.92200,3.98900,1007960000
5708.0,4.10300,4.28550,4.08675,4.26950,815112000
5709.0,4.26400,4.26450,4.17550,4.19675,463188000
5710.0,4.26325,4.33625,4.24150,4.28075,427244000
5711.0,4.29050,4.33325,4.24750,4.28700,303488000
5712.0,4.21000,4.26475,4.04100,4.06100,568056000
5715.0,4.14025,4.16450,4.09775,4.13625,318208000
5716.0,4.17475,4.17750,4.01550,4.04500,290968000
5717.0,4.01450,4.08350,3.97500,4.03050,255612000
5718.0,4.12250,4.20750,4.11900,4.17500,357976000
5719.0,4.22150,4.27150,4.16950,4.18775,290616000
5723.0,4.11450,4.14775,4.08125,4.10425,296140000
5724.0,4.16525,4.22650,4.16525,4.21900,227728000
5725.0,4.32175,4.49975,4.32000,4.49350,695676000
5726.0,4.47000,4.52725,4.42800,4.46625,376976000
5729.0,4.49750,4.59950,4.49600,4.51250,417524000
5730.0,4.47950,4.60625,4.46975,4.57950,352812000
5731.0,4.59425,4.65675,4.56500,4.60825,361512000
5732.0,4.65500,4.7100,4.59875,4.60675,327840000
5733.0,4.53975,4.5770,4.50450,4.54850,324592000
5736.0,4.47300,4.5400,4.46250,4.50525,231832000
5737.0,4.51200,4.5310,4.46525,4.52675,223048000
5738.0,4.51975,4.5355,4.41250,4.49950,258152000
5739.0,4.50550,4.52400,4.41275,4.42350,245476000
5740.0,4.42250,4.44625,4.30700,4.31725,350244000
5743.0,4.31750,4.41675,4.31375,4.37100,249712000
5744.0,4.40250,4.43225,4.27750,4.31325,317268000
5745.0,4.31275,4.47550,4.26775,4.45575,308432000
5746.0,4.4460,4.45475,4.38225,4.43350,234564000
5747.0,4.3915,4.44250,4.23300,4.29400,362056000
5750.0,4.3200,4.36200,4.28850,4.35175,186184000
5751.0,4.3750,4.52500,4.34525,4.35000,366008000
5752.0,4.3280,4.34000,4.25325,4.32600,293372000
5753.0,4.3305,4.53900,4.30000,4.53275,450588000
5754.0,4.5350,4.57875,4.46950,4.54925,265524000
5757.0,4.6145,4.70850,4.60575,4.60825,480984000
5758.0,4.5160,4.51600,4.41250,4.43075,444436000
5759.0,4.5080,4.56750,4.47900,4.51775,292412000
5760.0,4.51550,4.62700,4.51025,4.57575,309124000
5761.0,4.66025,4.73350,4.64125,4.64975,446404000
5764.0,4.64100,4.68425,4.60975,4.66325,200040000
5765.0,4.75400,4.98225,4.74000,4.90925,664124000
5766.0,4.87500,4.98050,4.84375,4.85525,428944000
5767.0,4.90000,4.94525,4.80250,4.85725,263436000
5768.0,4.85775,4.89050,4.68750,4.76225,307440000
5771.0,4.82400,4.91375,4.80500,4.90025,261868000
5772.0,4.95750,5.06325,4.88250,4.89025,328720000
5773.0,4.80775,4.89150,4.77575,4.87725,279916000
5774.0,4.91875,4.95525,4.88450,4.92150,232020000
5775.0,5.00250,5.13450,4.99475,5.11350,423092000
5778.0,5.15750,5.22250,5.12800,5.16975,330792000
5779.0,5.15575,5.16225,5.05350,5.07300,211236000
5780.0,5.10000,5.10575,5.00650,5.07500,205960000
5781.0,5.05400,5.07500,4.94525,5.02550,209732000
5782.0,4.99000,5.09725,4.96475,5.06475,283640000
5785.0,5.14625,5.27500,5.12300,5.26250,376716000
5786.0,5.26225,5.28850,5.19200,5.24025,300868000
5787.0,5.21600,5.24175,5.10275,5.19075,269012000
5788.0,5.27775,5.29250,5.16350,5.20850,280340000
5789.0,5.19150,5.22625,5.15375,5.19450,189100000
5792.0,5.19375,5.22775,5.10700,5.20450,243436000
5793.0,5.24300,5.29650,5.20775,5.24025,283504000
5794.0,5.20875,5.23650,5.14750,5.21425,300188000
5795.0,5.22325,5.24700,5.16300,5.24475,518080000
5796.0,5.24250,5.29450,5.01600,5.10475,1053628000
5799.0,5.09725,5.33375,5.09425,5.30700,574588000
5800.0,5.27575,5.29950,5.14125,5.19975,414564000
5801.0,5.17675,5.36375,5.16400,5.27950,472588000
5802.0,5.27500,5.33100,5.23275,5.25450,288388000
5803.0,5.27725,5.32400,5.24850,5.27225,224100000
5806.0,5.40100,5.53525,5.38800,5.53025,506476000
5807.0,5.51250,5.51725,5.41850,5.42500,385244000
5808.0,5.46675,5.50125,5.42950,5.45600,215784000
5810.0,5.42500,5.45350,5.39450,5.41850,141556000
5813.0,5.41150,5.42500,5.21600,5.23125,372036000
5814.0,5.04675,5.19550,5.00925,5.19150,465232000
5815.0,5.27550,5.29800,5.20675,5.23550,273424000
5816.0,5.25750,5.27325,5.18775,5.21850,184884000
5817.0,5.28800,5.33725,5.2780,5.30425,232236000
5820.0,5.28125,5.35925,5.2725,5.30425,211880000
5821.0,5.33450,5.40150,5.2815,5.34950,256388000
5822.0,5.36000,5.43900,5.3575,5.43350,233796000
5823.0,5.40450,5.62000,5.3955,5.60175,404348000
5824.0,5.60475,5.7245,5.54550,5.59975,454704000
5827.0,5.64750,5.7015,5.61925,5.62875,320976000
5828.0,5.64750,5.7300,5.63800,5.70725,321196000
5829.0,5.74225,5.7985,5.73375,5.73775,343548000
5830.0,5.77250,5.9000,5.76750,5.88650,445360000
5831.0,5.95325,6.00975,5.93400,5.98425,603044000
5834.0,6.01300,6.04525,5.95975,5.97050,355060000
5835.0,5.95500,5.98275,5.92050,5.96550,138864000
5837.0,5.96900,6.00800,5.95000,5.97975,182852000
